Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Stock - Percent Ownership	Data Source URL
BPL Pension	PROCTER & GAMBLE CO	2023-12-31	766	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Prologis International Fund II	2023-12-31	2.769	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Prologis LP	2023-12-31	21.152	x1_000	EUR	0,13%	https://www.bplpensioen.nl/beleggen
BPL Pension	PROSUS NV	2023-12-31	2.219	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Raiffeisen Bank International	2023-12-31	20.021	x1_000	EUR	0,12%	https://www.bplpensioen.nl/beleggen
BPL Pension	Realty Income Corp	2023-12-31	1.130	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Reckitt Benckiser Group PLC	2023-12-31	3.134	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Relx Capital Inc.	2023-12-31	5.813	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	REWE INT FINANCE	2023-12-31	4.831	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Roche Holding AG	2023-12-31	6.394	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	ROYAL BK CANADA	2023-12-31	7.409	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Sanofi	2023-12-31	1.772	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	SanPaolo IMI SpA	2023-12-31	12.039	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	SARTORIUS FINANCE BV	2023-12-31	13.317	x1_000	EUR	0,08%	https://www.bplpensioen.nl/beleggen
BPL Pension	Schiphol Airport	2023-12-31	832	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Schneider Electric SA	2023-12-31	3.872	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Segro PLC	2023-12-31	675	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	SELP FINANCE SARL	2023-12-31	7.633	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	SERVICIOS MEDIO AMBIENTE	2023-12-31	4.758	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Siemens AG	2023-12-31	7.742	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Sirius Real Estate Ltd	2023-12-31	746	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Skandinaviska Enskilda Banken AB	2023-12-31	5.233	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Snam Spa	2023-12-31	2.894	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Societe De Autoroute Paris-Rhone	2023-12-31	4.805	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Societe Generale	2023-12-31	9.077	x1_000	EUR	0,06%	https://www.bplpensioen.nl/beleggen
BPL Pension	Societe Generale SA	2023-12-31	16.130	x1_000	EUR	0,10%	https://www.bplpensioen.nl/beleggen
